"Book" "Cloth" "Electr" "House" "Age"
0 168.29 89.95 188.8 3
84.81 126.15 202.19 46.1 3
122.28 105.16 261.24 0 1
0 313.71 270.84 0 3
247.23 0 104.69 352.56 3
0 0 64.42 266.19 3
177.99 0 411.36 2.89 3
46.42 49.66 18.71 11.42 3
6.86 114.69 85.96 11.88 0
0 63.06 0 0 0
0 323.32 0 81.87 0
35.46 127.08 0 63.47 3
203.92 17.67 13.95 125.84 3
88.97 0 31.98 74.65 3
110.85 41.65 138.86 161.56 3
94.63 0 195.56 0 3
29.18 177.11 0 0 0
5.04 146.11 12.11 110.66 0
120.63 0 0 175.78 1
149.66 416.08 0 0 3
4.65 0 159.69 215.3 1
122.02 78.97 0 104.11 3
65.76 0 80.06 14.84 3
170.22 327.31 46.71 0 3
86.06 0 0 0 1
204.27 20.33 103.45 129.1 3
13.68 139.04 0 207.34 0
102.45 58.58 0 0 1
0 204.87 0 156.9 0
84.43 0 0 0 3
58.43 197.48 300.69 129.76 3
4.9 148.62 30.65 0 3
110.66 82.46 0 0 3
135.42 142.95 6.02 0 3
152.14 189.41 294.48 156.74 0
37.94 63.78 0 229.31 3
105.45 0 91.56 388.44 1
179.44 0 0 0 1
167.98 0 102.77 181.21 3
112.89 157.76 138.24 0 0
0 180.98 0 0 0
0 0 134.81 64.35 3
173.88 0 69.03 323.59 1
115.89 32.2 300.32 0 3
0 243.35 30.11 0 3
95.22 0 0 175.26 1
203.36 0 210.51 236.8 3
75.32 0 49.82 181.27 3
121.52 146.85 173.13 0 3
81.26 140 185.55 244.65 1
0 274.08 88.72 6.72 3
0 227.42 36.11 0 3
263.95 64.39 148.12 165.55 0
11 183.35 104 67.07 3
0 32.83 0 108.22 0
129.87 45.57 0 0 0
74.52 160.01 0 32.14 1
0 127.07 27.16 78.25 3
140.06 305.92 96.34 0 1
19.88 120.56 0 53.26 3
102.48 34.03 0 47.04 1
44.17 161.3 284.31 0 0
61.48 242.12 54.66 0 0
63.3 0 49.36 158.24 3
95.28 8.16 79.18 128.23 0
66.55 43.42 83.51 36.8 0
81.08 65.02 98.57 78.15 3
267.46 27.5 152.86 17.51 1
156.53 10.74 67.5 49.02 1
145.48 198.44 23.94 214.21 3
54.69 37.85 0 0 0
71.07 51.36 55.36 221.31 1
155.24 0 340.32 239.62 1
179.7 134.54 89.51 13.9 3
84.65 0 0 0 3
52.96 28.96 0 124.67 1
237.05 0 0 282.98 3
99.97 215.82 0 165.2 0
75.72 137.63 314.17 17.96 1
80.12 0 247.47 243.17 3
107.54 101.59 37.92 0 3
150.29 60.28 0 224.16 1
87.46 145.3 398.01 109.34 3
209.54 0 0 193.34 1
64.86 268.35 0 9.02 3
141.26 42.48 0 131.1 3
19.89 1.18 62.19 64.64 3
151.47 0 79.73 128.65 0
81.18 0 143.97 157.4 3
96.79 0 95.11 74.01 3
94.47 109.58 15.23 131.37 3
52.61 88.52 50.19 0 1
110.25 105.13 40.12 247.95 1
116.94 165.01 123.08 245.19 1
0 0 0 121.95 3
229.14 0 0 5.35 3
226.1 0 68.4 0 0
10.71 224.65 102.57 0 0
112.18 0 128.55 0 1
122.13 72.46 109.19 84.14 0
0 22.4 602.6 119.3 1
104.14 163.8 193.69 44.84 0
223.88 217.48 0 160.2 0
92.11 114.66 150.05 228.73 3
0 0 134.83 182.45 3
83.88 0 45.65 167.99 3
0 195.96 29.52 192.3 0
17.92 118.36 0 152.4 0
147.89 0 0 84.37 3
0 111.6 203.93 107.77 3
0 268.58 0 71.97 0
0 0 263.89 612.17 0
0 0 0 88.3 3
83.22 204.01 126.45 0 0
52.59 0 215.52 193.32 0
412.88 0 72.8 91.01 3
7.7 184.88 58.54 0 3
230.55 229.32 57.62 0 0
0 134.46 115.82 98.81 1
46.91 0 14.6 0 0
93.21 84.77 127.68 21.53 0
95.91 0 39.2 137.54 3
69.52 0.28 257.18 111.94 1
191.77 0 43.36 40.51 3
0 68.9 0 0 0
0 126.35 33.61 162.86 0
68.74 0 0 0 1
18.67 0 0 84.78 3
0 319.58 0 1.06 3
129.97 10.91 0 148.63 3
25.61 0 104.71 69.57 3
129.56 0 86.97 243.03 3
108.66 0 13.15 71 1
50.19 0 108.1 166.99 3
97.44 0 0 387.29 3
65.24 0 150.11 82.94 3
59.06 132.6 53.04 0 3
155.45 14.91 12.68 0 1
86.65 0 0 67.29 0
0 66.68 0 62.62 3
0 270.19 122.82 37.87 0
0 106.01 0 0 3
0 302.3 0 54.4 3
159.81 0 0 200.29 3
80.41 20.39 0 210.01 3
0 0 42 53.92 1
22.15 0 387.77 55.56 3
64.38 201.99 14.35 0 1
0 0 0 220.92 1
0 164.53 56.09 85.9 3
139.59 142.37 10.71 85.58 3
161.31 101.32 79.65 182.85 0
161.7 69.31 89.88 0 3
59.87 0 0 71.72 3
0 218.62 0 112.87 3
126.98 66.98 323.52 143.99 3
71.06 0 46.03 96.02 3
136.79 90.61 123.49 0 0
0 186.59 43.22 274.9 0
197.3 38.2 0 132.39 1
158.73 191.7 0 0 3
71.8 87.85 511.04 154.47 3
85.67 0 0 36.11 3
22.87 134.22 89.43 115.08 3
0 201.54 32.56 0 3
155.58 83.84 0 77.1 1
0 537.94 0 0 3
0 35.43 0 115.75 1
54.36 0 76.62 96.83 1
103.14 93.05 79.23 296.74 3
0 0 0 55.62 3
0 497.37 0 0 0
29.88 32.87 77.68 8.38 3
9.2 92.33 0 0 3
101.25 76.17 0 89.15 3
138.49 95.23 0 223.15 3
0 0 68.23 61.44 3
0 57.27 104.3 225.38 3
0 0 0 239.22 0
75.66 232.53 114.58 44.24 1
109.02 77.05 0 0 3
153.38 0 37.54 107.88 1
0 183.05 68.06 55.97 3
345.45 0 193.75 0 3
133.41 58.51 0 142.93 3
98.09 100.99 107.89 47.88 3
54.78 147.14 0 92.4 1
0 13.48 0 18.91 3
118.22 79.24 430.88 0 0
131.47 66.25 169.38 0 3
45.95 81.6 0 70.13 0
56.83 8.83 66.96 101.2 3
0 54.1 0 286.05 3
121.93 0 0 19.91 3
168.07 370.56 0 0 3
77.97 0 0 0 3
120.08 134.93 41.35 0 3
121.45 0 126.07 205.18 3
140.52 0 0 85.35 0
77.72 727.25 0 0 0
0 91.75 4.2 22.05 0
0 16.87 188.74 96.57 3
153.81 87.81 0 0 1
0 0 0 503.12 3
74.48 225.93 134.33 0 3
10.26 86.76 95.71 126.15 0
148.88 70.49 119.48 67.05 3
41.41 199.87 136.46 473.38 3
0 0 219.09 0 0
219.58 0 111.83 32.65 1
86.3 539.92 0 0 1
41.69 2.92 497.59 75.24 3
79.57 13.87 192.81 0 0
61.78 114.3 96.86 135.62 3
80.75 0 156.18 339.74 1
37.56 0 0 121.54 1
49.28 26.13 138.86 0 0
225.07 48.35 0 46.64 1
46.89 137.57 142.66 71.91 0
276.88 77.38 52.8 405 3
169.78 0 153.16 469.9 3
107.53 26.26 199.4 88.07 3
126.15 109.46 143.13 0 0
0 133.82 59.26 78.39 3
46.76 0 66.02 215.05 3
57.64 132.17 97.4 0 3
33.13 55.68 0 307.73 0
0 260.2 0 0 3
0 0 159.06 3.99 3
0 257.38 449.81 19.34 0
138.51 0 163.36 146.67 3
42.51 350.9 20.87 0 3
117.87 59.65 45.62 32.49 3
51.28 327.05 245.39 0 0
34.54 0 326.63 229.24 3
92.02 109.04 95.15 108.41 3
0 165.55 59.62 5.88 3
2.06 0 0 125.96 0
130.38 0 0 241.8 3
0 186.01 158.81 64.69 3
53.21 36.31 0 0 0
0 74.24 105.96 1.7 0
60.5 0 194.92 0 0
54.45 120.32 252.18 269.45 0
125.09 236.13 121.62 0 0
56.74 57.71 283.54 12.37 3
25.07 108.5 0 298.37 3
110.89 132.29 0 106.07 3
20.83 197.03 0 113.53 3
180.54 117.14 565.28 0 1
236.55 0 0 84.89 1
0 319.54 0 136.08 3
197.21 33.93 0 0 3
109.52 0 50.52 262.3 1
53.88 200.6 0 212.67 0
0 338.87 352.81 0 3
1.58 73.61 270.55 0 3
169.95 0 0.05 120.1 3
30.87 253.52 0 0 0
182.49 196.44 70.87 166.35 3
161.43 88.73 45.98 0 1
73.49 187.49 61.93 0 3
40.42 0 0 114.4 1
136.12 0 43.7 24.13 3
172.12 0 14.43 20.05 1
35.94 53.15 0 10.27 1
118.24 0 0 218.15 3
195.05 9.05 0 0 0
0 270.26 40.34 0 0
36.24 32.28 0 263.61 1
88.26 0 0 4.49 0
0 4.79 111.56 87.11 3
0 215.87 0 70.34 3
51.74 0 135.86 173.14 1
79.81 240.69 120.01 155.73 3
0 0 0 821.63 1
59.08 258.75 41.67 63.68 0
145.61 0 14.67 195.64 1
162.71 0 129.82 84.45 0
2.2 265.54 0 39.94 3
70.25 197.44 144.47 0.1 3
76.87 127.09 485.49 0 3
137.02 13.64 298.75 0 3
0 182.91 99.88 343.39 0
102.63 100.8 113.22 207 3
57.62 0 0 270.89 3
33.4 171.97 63.73 0 0
